國家/地區別,總計(千美元),1.活動物；動物產品(千美元),2.植物產品(千美元),3.動植物油脂(千美元),4.調製食品；飲料及菸酒(千美元),5.礦產品(千美元),6.化學品(千美元),7.塑膠、橡膠及其製品(千美元),8.毛皮及其製品(千美元),9.木及木製品(千美元),10.紙漿；紙及其製品；印刷品(千美元),11.紡織品(千美元),12.鞋、帽及其他飾品(千美元),13.非金屬礦物製品(千美元),14.珠寶及貴金屬製品(千美元),15.基本金屬及其製品(千美元),16.機械及電機設備(千美元),17.運輸工具(千美元),18.光學及精密儀器；鐘錶；樂器(千美元),19.其他(千美元)
98年 11月,2247901,13499,5491,1236,12362,27576,52660,114076,3249,2553,8181,63555,5801,15535,11197,238966,1321772,149203,81898,119092
98年 12月,2264784,9861,5003,1526,12911,61789,51600,128453,3116,2882,8787,68957,6199,15615,8266,270792,1237914,164447,78925,127741
99年,31566001,146246,61208,13893,158633,493551,817980,1833331,44177,34526,121972,983377,81045,219106,125002,3951312,17525795,2262830,1058495,1633520
99年 1月,2214608,12448,4616,1347,12912,25996,51814,123983,3567,3431,8128,75202,5561,15377,8510,270312,1243446,160820,69636,117504
99年 2月,1903209,9360,4104,838,8485,3429,43812,111880,2912,1960,6861,64323,4581,12413,6859,243105,1068959,146898,62869,99562
99年 3月,2453027,9979,5195,1074,14842,36273,86120,157137,2751,3065,10790,82094,5450,18534,13050,319227,1306889,180788,78221,121544
99年 4月,2331794,9000,4874,1110,15348,28566,76611,153930,2892,2842,9528,74543,6034,17802,9428,287819,1255447,169427,76335,130259
99年 5月,2661703,13684,5019,1682,15388,38192,58283,165848,3547,3339,11260,84960,6662,19115,9413,378153,1407984,207666,93005,138503
99年 6月,2872212,13041,6474,1072,13190,53622,66136,177725,4508,3196,13065,95187,6858,20178,5505,372086,1596720,194896,88137,140617
99年 7月,2886760,13610,5142,830,11805,80556,101801,169578,3850,3674,11263,96847,8138,21544,7053,346588,1568538,208610,91232,136102
99年 8月,2937439,11893,4734,991,12083,91174,71987,177623,4029,2550,11720,96428,9802,20265,6946,375732,1572895,207840,103664,155083
99年 9月,2735168,11743,4692,1082,12067,28911,66442,143179,4288,3106,9907,78563,7447,18309,10829,333520,1563213,209280,84892,143699
99年 10月,2891865,14285,5215,1636,12796,2648,77214,144038,3744,2767,9832,77090,6615,17539,10866,319930,1741411,190811,98324,155102
99年 11月,2964879,13212,6342,1009,14590,71158,59929,151431,4099,2431,9708,72115,7187,19118,16708,340437,1723602,186308,109458,156037
99年 12月,2713337,13991,4802,1222,15127,33025,57833,156978,3990,2165,9910,86024,6712,18912,19835,364402,1476691,199488,102724,139507
100年,36450635,159409,70929,14488,187352,294404,869663,2095109,54540,41169,130305,971852,88417,247067,148589,4637698,20888944,2540486,1292789,1717424
100年 1月,2786466,12477,4539,1144,13315,4144,74527,164291,4259,2924,8466,85796,7587,17846,14216,351595,1581638,204365,89957,143381
100年 2月,2365423,8203,3552,743,9240,6541,56479,134212,2231,1601,7956,62581,4750,15197,8347,271793,1429352,160612,82363,99671
100年 3月,2970775,11424,6595,1241,18868,5937,72648,192072,4356,3444,10674,83443,6850,19403,10513,408569,1647616,217790,106936,142397
100年 4月,3242946,9179,5808,1190,17313,57381,81536,180402,3829,4047,10454,79697,6141,19456,10925,382496,1918400,202259,117908,134523
100年 5月,3445298,12488,5794,1138,20621,264,82873,203792,5986,3519,13878,82241,7419,22597,19977,454677,2020200,212314,121785,153734
